,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,DS309-A | C205,DS307-A | C202,Free,LUNCH BREAK,Free,Free
Tuesday,DS309-A | C204,DS307-T-A [60min] | C202,Free,LUNCH BREAK,Free,Free
Wednesday,DS306-A | C204,DS308-A | C203,Free,LUNCH BREAK,Free,Free
Thursday,DS306-A | C204,DS308-A | C202,Free,LUNCH BREAK,Free,Elective C
Friday,DS307-A | C204,DS308-T-A [60min] | C202,Free,LUNCH BREAK,Elective C,Free
