,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,DS306-A | C202,Elective (B1),DS308-A | C203,LUNCH BREAK,Free,Free
Tuesday,DS309-A | C202,DS306-A | C205,DS308-A | C203,LUNCH BREAK,Free,Free
Wednesday,DS309-A | C205,DS307-A | C203,DS308-T-A [60min] | C203,LUNCH BREAK,Free,Free
Thursday,Elective (B1),DS307-A | C203,Free,LUNCH BREAK,Free,Free
Friday,Elective (B1),DS307-T-A [60min] | C203,Free,LUNCH BREAK,Free,Free
