,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,CS307-A | C101,Elective (B1) [60min],Free,LUNCH BREAK,Free,Free
Tuesday,CS307-A | C101,Elective (B3),Free,LUNCH BREAK,Free,Free
Wednesday,Elective (B3),Free,Free,LUNCH BREAK,CS307-Lab-A [120min] | L307,Free
Thursday,Elective (B1),Free,Free,LUNCH BREAK,Free,Free
Friday,Elective (B1),Free,Free,LUNCH BREAK,Free,Free
