,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,HS205 (Common) | C003,MA202-B | C202,CS301-T-B [60min] | C104,LUNCH BREAK,CS310-B [90min] | C104,Free
Tuesday,HS205 (Common) | C003,MA202-B | C202,CS204-B | C104,LUNCH BREAK,CS310-T-B [60min] | C104,Free
Wednesday,CS206-B | C202,MA202-T-B [60min] | C104,CS204-B | C102,LUNCH BREAK,CS310-Lab-B [120min] | L208,Free
Thursday,CS206-B | C202,CS301-B | C104,Free,LUNCH BREAK,CS204-Lab-B [120min] | L107,Free
Friday,CS206-T-B [60min] | C202,CS301-B | C104,CS310-B | C104,LUNCH BREAK,Free,Free
