,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,MA202-A | C203,CS204-A | C104,DS205-A | C204,LUNCH BREAK,DS204-Lab-A [120min] | L207 & L208,Free
Tuesday,MA202-A | C204,CS204-A | C104,CS310-A | C104,LUNCH BREAK,DS205-A [90min] | C104,Free
Wednesday,MA202-T-A [60min] | C203,CS204-T-A [60min] | C104,CS310-A | C104,LUNCH BREAK,Free,Free
Thursday,HS206-A | C203,DS204-A | C104,CS310-T-A [60min] | C101,LUNCH BREAK,Free,Free
Friday,HS206-A | C203,DS204-A | C104,Free,LUNCH BREAK,CS310-Lab-A [120min] | L106 & L107,Free
