,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,DA262-A | C203,CS304-A | C104,Free,LUNCH BREAK,CS307-Lab-A [120min] | L107 & L206,Free
Tuesday,MA262-A | C203,CS304-T-A [60min] | C101,Free,LUNCH BREAK,DA261-Lab-A [120min] | C301 & L307,Free
Wednesday,MA262-A | C203,DA262-A | C104,Free,LUNCH BREAK,Free,Free
Thursday,MA262-T-A [60min] | C203,Free,Free,LUNCH BREAK,DA262-Lab-A [120min] | L105 & L106,Free
Friday,DA261-A | C104,CS304-A | C202,Free,LUNCH BREAK,Free,Free
