,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,CS263-A | C101,Free,Free,LUNCH BREAK,MA261 (Common) [90min] | C003,CS264 (Common) [90min] | C004
Tuesday,CS263-A | C101,Free,Free,LUNCH BREAK,MA261 (Common) [90min] | C003,CS264 (Common) [60min] | C004
Wednesday,CA262-A | C101,Free,Free,LUNCH BREAK,CS261 (Common) [90min] | C004,CS263-Lab-A [120min] | L106 & L107
Thursday,CA262-A | C101,Free,Free,LUNCH BREAK,CS261 (Common) [90min] | C004,Free
Friday,Free,Free,CS264 (Common) | C004,LUNCH BREAK,CA262-Lab-A [120min] | L106 & L107,Free
