,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,MA263-A | C205,EC262-A | C203,Free,LUNCH BREAK,"CS307
(Lab)
L107 & L206
[Shared: DSAI+ECE]",Free
Tuesday,MA261-A | C205,MA263-T-A [60min] | C104,EC262-A | C101,LUNCH BREAK,Free,Free
Wednesday,MA261-A | C205,EC261-A | C203,Free,LUNCH BREAK,EC262-Lab-A [120min] | L105 & L206,Free
Thursday,MA261-T-A [60min] | C205,EC261-A | C104,Free,LUNCH BREAK,Free,Free
Friday,MA263-A | C203,EC261-T-A [60min] | C203,Free,LUNCH BREAK,Free,Free
