,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,MA161 (Common) | C004,EC161 (Common) | C004,CS161-A | C101,LUNCH BREAK,Free,Free
Tuesday,MA161 (Common) | C004,Free,Free,LUNCH BREAK,EC161-Lab-A [120min] | L105 & L206,Free
Wednesday,DS161 (Common) | C004,HS161 (Common) | C004,Free,LUNCH BREAK,CS161-Lab-A [120min] | L106 & L107,Free
Thursday,DS161 (Common) | C004,HS161 (Common) | C004,Free,LUNCH BREAK,Free,Free
Friday,EC161 (Common) | C004,CS161-A | C101,Free,LUNCH BREAK,Free,Free
