,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,MA161 (Common) | C004,EC161 (Common) | C004,CS161 (Common) | C004,LUNCH BREAK,DS161-Lab (Common) [120min] | L106 & L107,Free
Tuesday,MA161 (Common) | C004,MA162 (Common) | C004,CS161 (Common) | C004,LUNCH BREAK,EC161-Lab (Common) [120min] | L106 & L107,Free
Wednesday,MA162 (Common) | C004,CS161 (Common) | C004,HS161 (Common) | C004,LUNCH BREAK,MA161-Lab (Common) [120min] | L106 & L107,Free
Thursday,DS161 (Common) | C004,CS161 (Common) | C004,HS161 (Common) | C004,LUNCH BREAK,MA162-Lab (Common) [120min] | L106 & L107,Free
Friday,DS161 (Common) | C004,EC161 (Common) | C004,Free,LUNCH BREAK,CS161-Lab (Common) [120min] | L106 & L107,Free
