,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,Free,Free,CS162 (Common) | C004,LUNCH BREAK,CS164-Lab (Common) [120min] | L106 & L107,CS163-Lab (Common) [120min] | L106 & L107
Tuesday,DS164-A | C203,Free,CS162 (Common) | C004,LUNCH BREAK,HS161 (Common) [90min] | C004,Free
Wednesday,CS162 (Common) [60min] | C004,HS161 (Common) | C004,Free,LUNCH BREAK,Free,Free
Thursday,CS164 (Common) | C004,CS163 (Common) | C004,Free,LUNCH BREAK,DS164-Lab-A [120min] | L307 & L308,Free
Friday,CS164 (Common) | C004,CS163 (Common) | C004,Free,LUNCH BREAK,Free,Free
