,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,CS162 (Common) | C004,HS161-A | C104,CS163-A | C104,LUNCH BREAK,CS164-Lab (Common) [120min] | L307,CS163-Lab (Common) [120min] | L106
Tuesday,CS162 (Common) | C004,HS161 (Common) | C004,CS164-A | C104,LUNCH BREAK,CS164-Lab-A [120min] | L207,DS164-A [90min] | C101
Wednesday,CS162 (Common) [60min] | C004,HS161 (Common) | C004,CS164-A | C104,LUNCH BREAK,CS163-A [90min] | C104,DS164-Lab-A [120min] | L106
Thursday,CS164 (Common) | C004,CS163 (Common) | C004,CS162-A | C104,LUNCH BREAK,HS161-A [90min] | C101,Free
Friday,CS164 (Common) | C004,CS163 (Common) | C004,CS162-A | C104,LUNCH BREAK,CS163-Lab-A [120min] | L106,Free
