Course Code,Course Title,Lectures,Tutorials,Practicals,Self-Study,Credits,Faculty,Semester,Branch,HSS
,,,,,,,,,,
HS153,Innovation and Entrepreneurship,3,1,0,0,3,Dr.Deepak K T,2,Cse,Y
HS204,Economics,2,1,0,0,3,Dr. Anushree Kini,2,Cse,Y
CS152,Data Science with Python,3,1,0,0,2,Dr. Abdul Wahid,2,,
EC154,Introduction to Digital VLSI Design,3,1,0,0,2,Dr Prakash Pawar,2,,
HS155,Industry Insights Program Part 1,1,0,0,0,1,Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan,2,,
DS151,Linux for Engineers,3,1,0,0,2,Dr. Shirshendu L,2,,
HS156,Introduction to Holistic Personality Development,1,0,0,0,1, Prof. Chachadi and Dr. Chandrika K,2,,
HS154,Photography101,1,0,0,0,1,Dr Prabhu Prasad BM,2,,
ASD152,Visual Design-PAPC,3,1,0,0,2,Dr. Sandesh Phalke,2,,
CS471,Deep Computer Vision,3,1,0,0,4,Chinmayanand,6,,
DS357,Large Languange Models,3,1,0,0,4,Dr. Sunil S,6,,
CS458,Natural Language Processing,3,1,0,0,4,Dr. Krishnendu,6,,
CS455,Blockchain Technology,3,1,0,0,4,Dr. Rajendra H,6,,
EC361,Introduction to 5G Network,3,1,0,0,4,Dr. Jagadeesha R Bhat,6,,
CS365,Model Checking,3,0,0,4,4,Dr. Pavan,6,,
PH352,Quantum Communication,3,0,0,0,3,Dr. Aswath B,6,,
PH353,Quantum HPC and AI,1,0,0,0,1,Dr. Manish M (Dr. Aswath),6,,
ASD351,Design Thinking and Innovation,3,1,0,0,4,Dr. Sandesh P,6,,
EC362,Automotive Embedded and Multimedia Systems,3,0,0,4,4,Mr. Jagadeesh K                                              (Dr Sibasankar Padhy),6,,
CS462,Computer Graphics,3,1,0,0,4,Dr. Vivekraj V K,6,,
CS469,Virtualization and Cloud Computing,3,1,0,0,4,Dr Malay,6,,
DS355,Data Analytics and Visualization,3,1,0,0,4,Dr. Sunil CK,6,,
DS351,Statistics for Health Technology,3,1,0,0,4,Dr. Ramesh Athe,6,,
DS356,Medical Image Analysis,3,0,0,4,4,Dr. Girish GN,6,,
CS472,Bioinformatics,3,1,0,0,4,Dr. Sunil Kumar PV,6,,
