,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,Free,Free,Free,LUNCH BREAK,CS161-Lab-A [120min] | L207 & L208,"MA162
(Lecture)
C004
[Shared: DSAI+ECE]"
Tuesday,Free,Free,Free,LUNCH BREAK,"MA162
(Lecture)
C004
[Shared: DSAI+ECE]","CS161
(Lecture)
C004
[Shared: DSAI+ECE]"
Wednesday,Free,Free,Free,LUNCH BREAK,"EC161
(Lecture)
C004
[Shared: DSAI+ECE]","CS161
(Lecture)
C004
[Shared: DSAI+ECE]"
Thursday,Free,Free,Free,LUNCH BREAK,"EC161
(Lecture)
C004
[Shared: DSAI+ECE]",Free
Friday,Free,Free,Free,LUNCH BREAK,Free,EC161-Lab-A [120min] | L105 & L206
