,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,EC162-T-A [60min] | C203,"CS162
(Lecture)
C004
[Shared: DSAI+ECE]",Free,LUNCH BREAK,Elective (B4),"CS163
(Lecture)
L106
[Shared: DSAI+ECE]"
Tuesday,Free,"CS162
(Lecture)
C004
[Shared: DSAI+ECE]",Elective (B3),LUNCH BREAK,Elective (B4),Free
Wednesday,"CS162
(Lecture)
C004
[Shared: DSAI+ECE]",Elective (B3),EC162-A | C204,LUNCH BREAK,Free,Free
Thursday,"CS164
(Lecture)
C004
[Shared: DSAI+ECE]","CS163
(Lecture)
C004
[Shared: DSAI+ECE]",Elective (B3),LUNCH BREAK,Free,Free
Friday,"CS164
(Lecture)
C004
[Shared: DSAI+ECE]","CS163
(Lecture)
C004
[Shared: DSAI+ECE]",Elective (B4),LUNCH BREAK,Free,Free
