,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,Free,Elective (B1),Free,LUNCH BREAK,Free,Free
Tuesday,EC307-A | C203,Elective (B3),Free,LUNCH BREAK,Free,Free
Wednesday,Elective (B3),Free,Free,LUNCH BREAK,Free,Free
Thursday,Elective (B1),Free,Free,LUNCH BREAK,Free,Free
Friday,Elective (B1),Free,Free,LUNCH BREAK,Free,Free
