,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,MA261-A | C205,MA263-A | C203,EC261-T-A [60min] | C104,LUNCH BREAK,Free,Free
Tuesday,MA261-A | C205,MA263-A | C104,EC262-A | C101,LUNCH BREAK,Free,Free
Wednesday,MA261-T-A [60min] | C205,MA263-T-A [60min] | C203,EC262-A | C101,LUNCH BREAK,Free,Free
Thursday,EC261-A | C205,Free,Free,LUNCH BREAK,EC262-Lab-A [120min] | L107 & L206,"CS307
(Lecture)
C004
[Shared: DSAI+ECE]"
Friday,EC261-A | C203,Free,"CS307
(Lecture)
C004
[Shared: DSAI+ECE]",LUNCH BREAK,Free,Free
