,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30,18:30-20:00
Monday,CS309-B | C202,CS303-T-B [60min] | C104,Free,LUNCH BREAK,Elective C,Free,Not Available
Tuesday,CS309-B | C202,Elective C,Free,LUNCH BREAK,CS303-Lab-B [120min] | L207 & L208,Free,Minor
Wednesday,CS309-T-B [60min] | C202,CS304-B | C102,Elective C-T,LUNCH BREAK,Free,Free,Not Available
Thursday,CS303-B | C202,CS304-B | C102,Free,LUNCH BREAK,Free,Free,Minor
Friday,CS303-B | C102,CS304-T-B [60min] | C202,Free,LUNCH BREAK,Free,Free,Not Available
