,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30,18:30-20:00
Monday,CS161 | C302,Free,Free,LUNCH BREAK,Elective A,MA162 (Common) | C004,Not Available
Tuesday,CS161 | C302,Elective A,Free,LUNCH BREAK,MA162 (Common) | C004,Free,Minor
Wednesday,Free,Free,Free,LUNCH BREAK,EC161 (Common) | C004,Free,Not Available
Thursday,Free,Free,Free,LUNCH BREAK,EC161 (Common) | C004,CS161-Lab [120min] | L207 & L208,Minor
Friday,Free,Free,Free,LUNCH BREAK,Free,EC161-Lab [120min] | L105 & L206,Not Available
