,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30,18:30-20:00
Monday,CS309-A | C104,CS303-T-A [60min] | C102,Free,LUNCH BREAK,Elective C,Free,Not Available
Tuesday,CS309-A | C104,Elective C,Free,LUNCH BREAK,CS303-Lab-A [120min] | L106 & L107,Free,Minor
Wednesday,CS309-T-A [60min] | C104,CS304-A | C101,Elective C-T,LUNCH BREAK,Free,Free,Not Available
Thursday,CS303-A | C104,CS304-A | C101,Free,LUNCH BREAK,Free,Free,Minor
Friday,CS303-A | C101,CS304-T-A [60min] | C104,Free,LUNCH BREAK,Free,Free,Not Available
