,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30,18:30-20:00
Monday,CS263-B | C102,Elective A,MA261 (Common) | C004,LUNCH BREAK,CS264 (Common) [90min] | C004,HSS,Not Available
Tuesday,CS263-B | C102,MA261 (Common) | C004,CS264-T (Common) [60min] | C004,LUNCH BREAK,Elective A,HSS,Minor
Wednesday,CA262-B | C102,Free,CS261 (Common) | C004,LUNCH BREAK,Free,CS263-Lab-B [120min] | L207 & L208,Not Available
Thursday,CA262-B | C102,Free,CS261 (Common) | C004,LUNCH BREAK,Free,Free,Minor
Friday,Free,CS264 (Common) | C004,Free,LUNCH BREAK,CA262-Lab-B [120min] | L207 & L208,Free,Not Available
