,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,MA163-A | C101,Free,Free,LUNCH BREAK,CS163-Lab-A [120min] | L106,Free
Tuesday,MA163-A | C101,CS165-A | C101,Free,LUNCH BREAK,Free,Free
Wednesday,MA163-T-A [60min] | C101,CS165-A | C101,Free,LUNCH BREAK,Free,Free
Thursday,CS163-A | C101,Free,Free,LUNCH BREAK,Free,Free
Friday,CS163-A | C101,Free,Free,LUNCH BREAK,Free,Free
