,08:00-09:30,09:45-11:15,11:30-13:00,13:00-14:30,14:30-16:30,16:30-18:30
Monday,Elective (Minor),HS206-A | C204,DS204-A | C202,LUNCH BREAK,CS310-T-A [60min] | C202,Free
Tuesday,Elective (Minor),HS206-A | C204,DS204-A | C202,LUNCH BREAK,CS310-Lab-A [120min] | L106,Free
Wednesday,MA202-A | C204,CS204-A | C202,DS205-A | C202,LUNCH BREAK,Free,DS204-Lab-A [120min] | L106
Thursday,MA202-A | C204,CS204-A | C202,CS310-A | C102,LUNCH BREAK,DS205-A [90min] | C101,Free
Friday,MA202-T-A [60min] | C204,CS204-T-A [60min] | C202,CS310-A | C202,LUNCH BREAK,Free,Free
