,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,HS205 (Common) | C003,MA202-A | C104,CS301-T-A [60min] | C102,LUNCH BREAK,CS310-A [90min] | C102,Free
Tuesday,HS205 (Common) | C003,MA202-A | C104,CS204-A | C102,LUNCH BREAK,CS310-T-A [60min] | C102,Free
Wednesday,CS206-A | C104,MA202-T-A [60min] | C102,CS204-A | C101,LUNCH BREAK,CS310-Lab-A [120min] | L207,Free
Thursday,CS206-A | C104,CS301-A | C102,Free,LUNCH BREAK,CS204-Lab-A [120min] | L106,Free
Friday,CS206-T-A [60min] | C104,CS301-A | C102,CS310-A | C102,LUNCH BREAK,Free,Free
