,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,CS165 (Common) | C004,CS163-B | C102,Elective (E1),LUNCH BREAK,Elective (B4),Free
Tuesday,CS165 (Common) | C004,CS163-B | C102,Elective (B3),LUNCH BREAK,Elective (B4),Free
Wednesday,MA163-B | C102,Elective (B3),Free,LUNCH BREAK,CS163-Lab-B [120min] | L107,Free
Thursday,MA163-B | C102,Elective (E1),Elective (B3),LUNCH BREAK,Free,Free
Friday,MA163-T-B [60min] | C102,Elective (E1),Elective (B4),LUNCH BREAK,Free,Free
