,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,MA263 | C303,CS307 | C203,EC261 | C202,LUNCH BREAK,EC262-Lab [120min] | L105 & L206,Free
Tuesday,MA263-T [60min] | C303,EC261-T [60min] | C203,Free,LUNCH BREAK,Free,MA262 (Common) | C004
Wednesday,CS307 | C205,EC262 | C203,Free,LUNCH BREAK,Free,MA262 (Common) | C004
Thursday,CS307-T [60min] | C204,EC262 | C104,Free,LUNCH BREAK,Elective A,MA262-T (Common) | C004
Friday,MA263 | C203,EC261 | C203,Free,LUNCH BREAK,Free,Elective A
