,09:00-10:30,10:30-12:00,12:00-13:00,13:00-14:00,14:00-15:30,15:30-17:00,17:00-18:00
Monday,DS306-A | C202,Elective (B1),DS308-A | C203,LUNCH BREAK,Free,Free,Free
Tuesday,DS309-A | C202,DS306-A | C205,DS308-A | C203,LUNCH BREAK,Free,Free,Free
Wednesday,DS309-A | C205,DS307-A | C203,DS308-T-A [60min] | C203,LUNCH BREAK,Free,Free,Free
Thursday,Elective (B1),DS307-A | C203,Free,LUNCH BREAK,Free,Free,Free
Friday,Elective (B1),DS307-T-A [60min] | C203,Free,LUNCH BREAK,Free,Free,Free
