,09:00-10:30,10:30-12:00,12:00-13:00,13:00-14:00,14:00-15:30,15:30-17:00,17:00-18:00
Monday,CS165 (Common) | C004,CS163-B | C102,Elective (E1),LUNCH BREAK,Elective (B4),Free,Free
Tuesday,CS165 (Common) | C004,CS163-B | C102,Elective (B3),LUNCH BREAK,Elective (B4),Free,Free
Wednesday,MA163-B | C102,Elective (B3),Free,LUNCH BREAK,CS163-Lab-B [120min] | L107,Free,Free
Thursday,MA163-B | C102,Elective (E1),Elective (B3),LUNCH BREAK,Free,Free,Free
Friday,MA163-T-B [60min] | C102,Elective (E1),Elective (B4),LUNCH BREAK,Free,Free,Free
