,09:00-10:30,10:30-12:00,12:00-13:00,13:00-14:00,14:00-15:30,15:30-17:00,17:00-18:00
Monday,HS205 (Common) | C003,MA202-B | C202,CS301-T-B [60min] | C104,LUNCH BREAK,CS310-B [90min] | C104,Free,Free
Tuesday,HS205 (Common) | C003,MA202-B | C202,CS204-B | C104,LUNCH BREAK,CS310-T-B [60min] | C104,Free,Free
Wednesday,CS206-B | C202,MA202-T-B [60min] | C104,CS204-B | C102,LUNCH BREAK,CS310-Lab-B [120min] | L208,Free,Free
Thursday,CS206-B | C202,CS301-B | C104,Free,LUNCH BREAK,CS204-Lab-B [120min] | L107,Free,Free
Friday,CS206-T-B [60min] | C202,CS301-B | C104,CS310-B | C104,LUNCH BREAK,Free,Free,Free
