,09:00-10:30,10:30-12:00,12:00-13:00,13:00-14:00,14:00-15:30,15:30-17:00,17:00-18:00
Monday,HS205 (Common) | C003,MA202-A | C104,CS301-T-A [60min] | C102,LUNCH BREAK,CS310-A [90min] | C102,Free,Free
Tuesday,HS205 (Common) | C003,MA202-A | C104,CS204-A | C102,LUNCH BREAK,CS310-T-A [60min] | C102,Free,Free
Wednesday,CS206-A | C104,MA202-T-A [60min] | C102,CS204-A | C101,LUNCH BREAK,CS310-Lab-A [120min] | L207,Free,Free
Thursday,CS206-A | C104,CS301-A | C102,Free,LUNCH BREAK,CS204-Lab-A [120min] | L106,Free,Free
Friday,CS206-T-A [60min] | C104,CS301-A | C102,CS310-A | C102,LUNCH BREAK,Free,Free,Free
