,09:00-10:30,10:30-12:00,12:00-13:00,13:00-14:00,14:00-15:30,15:30-17:00,17:00-18:00
Monday,CS165 (Common) | C004,CS163-A | C101,Elective (E1) [60min],LUNCH BREAK,Elective (B4) [90min],Free,Free
Tuesday,CS165 (Common) | C004,CS163-A | C101,Elective (B3),LUNCH BREAK,Elective (B4) [60min],Free,Free
Wednesday,MA163-A | C101,Elective (B3),Free,LUNCH BREAK,CS163-Lab-A [120min] | L106,Free,Free
Thursday,MA163-A | C101,Elective (E1),Elective (B3) [60min],LUNCH BREAK,Free,Free,Free
Friday,MA163-T-A [60min] | C101,Elective (E1),Elective (B4),LUNCH BREAK,Free,Free,Free
