,09:00-10:30,10:30-12:00,12:00-13:00,13:00-14:00,14:00-15:30,15:30-17:00,17:00-18:00
Monday,Elective (Minor),HS206-A | C204,DS204-A | C202,LUNCH BREAK,CS310-T-A [60min] | C202,Free,Free
Tuesday,Elective (Minor),HS206-A | C204,DS204-A | C202,LUNCH BREAK,CS310-Lab-A [120min] | L106,Free,Free
Wednesday,MA202-A | C204,CS204-A | C202,DS205-A | C202,LUNCH BREAK,Free,DS204-Lab-A [120min] | L106,Free
Thursday,MA202-A | C204,CS204-A | C202,CS310-A | C102,LUNCH BREAK,DS205-A [90min] | C101,Free,Free
Friday,MA202-T-A [60min] | C204,CS204-T-A [60min] | C202,CS310-A | C202,LUNCH BREAK,Free,Free,Free
