,09:00-10:30,10:30-12:00,12:00-13:00,13:00-14:00,14:00-15:30,15:30-17:00,17:00-18:00
Monday,CS307-B | C102,Elective (B1),Free,LUNCH BREAK,Free,Free,Free
Tuesday,CS307-B | C102,Elective (B3),Free,LUNCH BREAK,Free,Free,Free
Wednesday,Elective (B3),Free,Free,LUNCH BREAK,CS307-Lab-B [120min] | L308,Free,Free
Thursday,Elective (B1),Free,Free,LUNCH BREAK,Free,Free,Free
Friday,Elective (B1),Free,Free,LUNCH BREAK,Free,Free,Free
