,08:00-09:30,09:45-11:15,11:30-13:00,13:00-14:30,14:30-16:30,16:30-18:30
Monday,CS165 (Common) | C004,CS163-A | C101,Elective (E1) [60min],LUNCH BREAK,Elective (B4) [90min],Free
Tuesday,CS165 (Common) | C004,CS163-A | C101,Elective (B3),LUNCH BREAK,Elective (B4) [60min],Free
Wednesday,MA163-A | C101,Elective (B3),Free,LUNCH BREAK,CS163-Lab-A [120min] | L106,Free
Thursday,MA163-A | C101,Elective (E1),Elective (B3) [60min],LUNCH BREAK,Free,Free
Friday,MA163-T-A [60min] | C101,Elective (E1),Elective (B4),LUNCH BREAK,Free,Free
