,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,CS263-A | C101,Free,MA261 (Common) | C004,LUNCH BREAK,CS261 (Common) [90min] | C004,HS261 (Common) [90min] | C004
Tuesday,CA262-A | C101,Free,MA261 (Common) | C004,LUNCH BREAK,CS264 (Common) [90min] | C004,CS263-Lab-A [120min] | L207 & L208
Wednesday,CA262-A | C101,Free,MA262 (Common) | C004,LUNCH BREAK,CS264 (Common) [90min] | C004,Free
Thursday,Free,Free,MA262 (Common) | C004,LUNCH BREAK,CS264 (Common) [60min] | C004,CA262-Lab-A [120min] | L106 & L107
Friday,CS263-A | C101,Free,CS261 (Common) | C004,LUNCH BREAK,HS261 (Common) [90min] | C004,Free
