,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,EC261-A | C302,EC263-A | C202,Free,LUNCH BREAK,"CS307
(Lecture)
L307 & L308
[Shared: DSAI+ECE]",Free
Tuesday,MA263-A | C302,EC261-T-A [60min] | C104,EC263-A | C101,LUNCH BREAK,Free,Free
Wednesday,MA263-A | C205,EC262-A | C202,Free,LUNCH BREAK,Free,EC263-Lab-A [120min] | L106 & L107
Thursday,MA263-T-A [60min] | C203,EC262-A | C104,HS252-A | C101,LUNCH BREAK,Free,Free
Friday,EC261-A | C205,HS252-A | C104,Free,LUNCH BREAK,Free,EC262-Lab-A [120min] | L106 & L107
