,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,Free,Free,Free,LUNCH BREAK,MA161-Lab (Common) [120min] | L207 & L208,Free
Tuesday,Free,Free,Free,LUNCH BREAK,Free,MA161 (Common) [90min] | C004
Wednesday,Free,Free,Free,LUNCH BREAK,DS161-Lab (Common) [120min] | L207 & L208,MA161 (Common) [90min] | C004
Thursday,Free,Free,Free,LUNCH BREAK,MA162-Lab (Common) [120min] | L207 & L208,DS161 (Common) [90min] | C004
Friday,Free,Free,Free,LUNCH BREAK,EC161-Lab (Common) [120min] | L207 & L208,DS161 (Common) [90min] | C004
