,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,EC306-A | C303,EC301-T-A [60min] | C205,HS351-A | C101,LUNCH BREAK,Free,Free
Tuesday,EC306-A | C205,EC351-A | C104,Free,LUNCH BREAK,Free,Free
Wednesday,EC351-A | C302,Free,Free,LUNCH BREAK,Free,EC306-Lab-A [120min] | L307 & L308
Thursday,EC301-A | C204,EC351-T-A [60min] | C203,Free,LUNCH BREAK,Free,Free
Friday,EC301-A | C302,HS351-A | C202,Free,LUNCH BREAK,Free,Free
