,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,MA262 | C303,MA263-T [60min] | C203,EC261 | C202,LUNCH BREAK,EC262-Lab [120min] | L105 & L206,Free
Tuesday,MA262 | C303,CS307 | C104,EC261-T [60min] | C102,LUNCH BREAK,Free,Free
Wednesday,MA262-T [60min] | C205,CS307 | C203,EC262 | C102,LUNCH BREAK,Free,Free
Thursday,MA263 | C205,CS307-T [60min] | C104,EC262 | C101,LUNCH BREAK,Free,Free
Friday,MA263 | C203,EC261 | C203,Free,LUNCH BREAK,Free,Free
