,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,MA262 | C204,DA262 | C104,CS304-T [60min] | C104,LUNCH BREAK,CS307-Lab [120min] | L106 & L107,Free
Tuesday,MA262 | C204,DA262 | C101,CS307 | C101,LUNCH BREAK,Free,Free
Wednesday,MA262-T [60min] | C203,CS304 | C104,CS307 | C101,LUNCH BREAK,Free,Free
Thursday,DA261 | C203,Free,Free,LUNCH BREAK,DA262-Lab [120min] | L106 & L107,Free
Friday,CS304 | C104,Free,Free,LUNCH BREAK,Free,DA261-Lab [120min] | L106 & L107
