,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,CS161 | C203,Free,Free,LUNCH BREAK,Elective A,MA162 (Common) [90min] | C004
Tuesday,CS161 | C203,Elective A,Free,LUNCH BREAK,MA162 (Common) [90min] | C004,Free
Wednesday,Free,Free,Free,LUNCH BREAK,EC161 (Common) [90min] | C004,Free
Thursday,Free,Free,Free,LUNCH BREAK,EC161 (Common) [90min] | C004,CS161-Lab [120min] | L106 & L107
Friday,Free,Free,Free,LUNCH BREAK,EC161-Lab [120min] | L105 & L206,Free
