,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,MA163-B | C102,Free,Free,LUNCH BREAK,CS163-Lab-B [120min] | L207 & L208,Free
Tuesday,MA163-B | C102,CS165-B | C102,Free,LUNCH BREAK,Free,Free
Wednesday,MA163-T-B [60min] | C102,CS165-B | C102,Free,LUNCH BREAK,Free,Free
Thursday,CS163-B | C102,Free,Free,LUNCH BREAK,Free,Free
Friday,CS163-B | C102,Free,Free,LUNCH BREAK,Free,Free
