,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,"CS162
(Lecture)
C004
[Shared: DSAI+ECE]",CS162-A | C204,CS164-A | C203,LUNCH BREAK,CS163-A [90min] | C102,"CS164
(Lecture)
L207 & L208
[Shared: DSAI+ECE]"
Tuesday,"CS162
(Lecture)
C004
[Shared: DSAI+ECE]","HS161
(Lecture)
C004
[Shared: DSAI+ECE]",EC162-A | C203,LUNCH BREAK,"CS163
(Lecture)
L307 & L308
[Shared: DSAI+ECE]",CS164-Lab-A [120min] | L207 & L208
Wednesday,"CS162
(Lecture)
C004
[Shared: DSAI+ECE]","HS161
(Lecture)
C004
[Shared: DSAI+ECE]",CS162-A | C203,LUNCH BREAK,HS161-A [90min] | C202,CS163-Lab-A [120min] | L207 & L208
Thursday,"CS164
(Lecture)
C004
[Shared: DSAI+ECE]","CS163
(Lecture)
C004
[Shared: DSAI+ECE]",CS162-T-A [60min] | C203,LUNCH BREAK,HS161-A [90min] | C102,EC162-T-A [60min] | C101
Friday,"CS164
(Lecture)
C004
[Shared: DSAI+ECE]","CS163
(Lecture)
C004
[Shared: DSAI+ECE]",CS164-A | C202,LUNCH BREAK,CS163-A [90min] | C101,Free
