,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,Free,Free,Free,LUNCH BREAK,Free,Free
Tuesday,Free,Free,Free,LUNCH BREAK,Free,Free
Wednesday,Free,Free,Free,LUNCH BREAK,Free,Free
Thursday,Free,Free,Free,LUNCH BREAK,Free,Free
Friday,Free,Free,Free,LUNCH BREAK,Free,Free
