,08:00-09:30,09:45-11:15,11:30-13:00,13:00-14:30,14:45-16:15,16:30-18:00,18:15-19:45
Monday,CS206-B | C102,CS206-B | C102,CS206-B | C102,LUNCH BREAK,CS206-T-B | C102,MA202-B | C102,MA202-B | C102
Tuesday,MA202-B | C102,MA202-T-B | C102,CS301-B | C102,LUNCH BREAK,CS301-B | C102,CS301-B | C102,CS301-T-B | C102
Wednesday,CS204-B | C102,CS204-B | C102,CS204-B | C102,LUNCH BREAK,CS310-B | C102,CS310-B | C102,CS310-B | C102
Thursday,CS204-Lab-B | Lab-1,CS204-Lab-B (cont.) | Lab-1,CS310-T-B | C102,LUNCH BREAK,HS205-B | C004,HS205-B | C004,HS205-B | C004
Friday,CS204-Lab-B | Lab-1,CS204-Lab-B (cont.) | Lab-1,CS310-Lab-B | Lab-1,LUNCH BREAK,CS310-Lab-B (cont.) | Lab-1,Free,Free
