,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30,18:30-20:00
Monday,Free,Free,Free,LUNCH BREAK,Free,Free,Not Available
Tuesday,Free,Free,Free,LUNCH BREAK,Free,Free,Minor
Wednesday,Free,Free,Free,LUNCH BREAK,Free,Free,Not Available
Thursday,Free,Free,Free,LUNCH BREAK,Free,Free,Minor
Friday,Free,Free,Free,LUNCH BREAK,Free,Free,Not Available
