,08:00-09:30,09:45-11:15,11:30-13:00,13:00-14:30,14:30-16:30,16:30-18:30,18:30-20:00
Monday,MA202 (Common) | C204,HS206 (Common) | C204,CS204 (Common) | C204,LUNCH BREAK,CS310 (Common) [90min] | C103,DS205 (Common) [90min] | C101,Free
Tuesday,MA202 (Common) | C204,HS206 (Common) | C204,DS204 (Common) | C204,LUNCH BREAK,CS310 (Common) [90min] | C202,DS205 (Common) [90min] | C102,Free
Wednesday,MA202 (Common) | C204,CS204 (Common) | C203,DS204 (Common) | C101,LUNCH BREAK,CS310 (Common) [90min] | C101,DS205 (Common) [90min] | C102,Free
Thursday,MA202 (Common) | C204,CS204 (Common) | C204,DS204 (Common) | C204,LUNCH BREAK,CS310 (Common) [60min] | C101,Free,Free
Friday,HS206 (Common) | C204,CS204 (Common) | C204,Free,LUNCH BREAK,DS204-Lab (Common) [120min] | Lab-4,CS310-Lab (Common) [120min] | Lab-2,Elective (Minor) [EVENING]
