Course Code,Course Title,Lectures,Tutorials,Practicals,Self-Study,Credits,Faculty,Semester,Lab
CS162,Optimization,3,1,0,0,2,Dr. Dibyajyoti Guha,2,
 CS164,Computer Architecture,3,0,2,0,2,Dr. Manjunath,2,S
 HS161,English Language and Communication,3,0,0,0,3,Dr. Rajesh N S,2,
 CS163,Data Structures and Algorithms,3,0,2,0,4,Dr. Sunil Saumya,2,S
DS164,Data Curation Techniques,2,0,2,0,3,Dr. Siddharth R.,2,S
MA202,Linear Algebra,3,1,0,0,4,Dr. Chinmayananda,4,
HS206,Industrial Social Psychology,3,0,0,0,3,Dr. Navyashree,4,
CS204,Operating Systems,3,1,0,0,4,Dr. Manjunath K V,4,
DS204,Software Engineering and Services,3,0,2,0,4,Dr. Animesh Chaturvedi,4,S
CS310,Database Management System,3,1,2,0,5,Dr. Shirshendu and Dr. Utkarsh Khaire,4,S
DS205,Global Business Perspectives,3,0,0,0,3,Mr. Manmohan Singh ( Course Coordinator: Dr. Rajendra Hegadi),4,
DS309,Cloud Computing,3,0,0,4,4,Dr. Animesh Chaturvedi,6,
DS306,Financial Data Analytics,3,0,0,4,4,Dr.Utkarsh Khaire,6,
DS307,Innovation and Entrepreneurship,3,1,0,0,4,Mr. Ram Subramanian ( Course Coordinator: Dr.  Manjunath KV),6,
DS308,Data Security and Privacy,3,1,0,0,4,Dr. Abdul Wahid & Dr. Rajendra Hegadi,6,
