,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,CS263-A | C101,Free,MA261 (Common) | C004,LUNCH BREAK,CS264 (Common) [90min] | C004,Free
Tuesday,CS263-A | C101,MA261 (Common) | C004,CS264 (Common) [60min] | C004,LUNCH BREAK,Free,Free
Wednesday,CA262-A | C101,Free,CS261 (Common) | C004,LUNCH BREAK,CS263-Lab-A [120min] | L207 & L208,Free
Thursday,CA262-A | C101,Free,CS261 (Common) | C004,LUNCH BREAK,Free,Free
Friday,Free,CS264 (Common) | C004,Free,LUNCH BREAK,CA262-Lab-A [120min] | L106 & L107,Free
