,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,MA161 (Common) | C004,EC161 (Common) | C004,CS161-B | C102,LUNCH BREAK,Free,Free
Tuesday,MA161 (Common) | C004,Free,Free,LUNCH BREAK,Free,EC161-Lab-B [120min] | L105 & L206
Wednesday,DS161 (Common) | C004,HS161 (Common) | C004,Free,LUNCH BREAK,CS161-Lab-B [120min] | L207 & L208,Free
Thursday,DS161 (Common) | C004,HS161 (Common) | C004,Free,LUNCH BREAK,Free,Free
Friday,EC161 (Common) | C004,CS161-B | C102,Free,LUNCH BREAK,Free,Free
