index,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,MA202-B | C102,HS205 (Common) | C004,CS301-T-B [60min] | C102,LUNCH BREAK,CS310-B [90min] | C102,Free
Tuesday,MA202-B | C102,HS205 (Common) | C004,CS204-B | C102,LUNCH BREAK,CS310-T-B [60min] | C102,Free
Wednesday,CS206-B | C202,MA202-T-B [60min] | C102,CS204-B | C102,LUNCH BREAK,Free,CS310-Lab-B [120min] | L106 & L107
Thursday,CS206-B | C202,CS301-B | C102,Free,LUNCH BREAK,CS204-Lab-B [120min] | L207 & L208,Free
Friday,CS206-T-B [60min] | C202,CS301-B | C102,CS310-B | C102,LUNCH BREAK,Free,Free
