,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,CS165 (Common) | C004,CS163-B | C102,Free,LUNCH BREAK,CSE Elective C (Whole Semester),Free
Tuesday,CS165 (Common) | C004,CS163-B | C102,Free,LUNCH BREAK,CSE Elective C (Whole Semester),Free
Wednesday,MA163-B | C102,CSE Elective C (Whole Semester),Free,LUNCH BREAK,CS163-Lab-B [120min] | L207 & L208,Free
Thursday,MA163-B | C102,Free,Free,LUNCH BREAK,Free,Free
Friday,MA163-T-B [60min] | C102,Free,Free,LUNCH BREAK,Free,Free
