,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,Free,Free,Free,LUNCH BREAK,MA261 (Common) [90min] | C004,CS261 (Common) [90min] | C004
Tuesday,Free,Free,Free,LUNCH BREAK,MA261 (Common) [90min] | C004,CA262 (Common) [90min] | C004
Wednesday,Free,Free,Free,LUNCH BREAK,MA262 (Common) [90min] | C004,CA262 (Common) [90min] | C004
Thursday,Free,Free,Free,LUNCH BREAK,MA262 (Common) [90min] | C004,CA262-Lab (Common) [120min] | L106 & L107
Friday,Free,Free,CS261 (Common) | C004,LUNCH BREAK,CA262 (Common) [90min] | C004,CA262-Lab (Common) [120min] | L106 & L107
