,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,Free,Free,Free,LUNCH BREAK,CS309 (Common) [90min] | C003,CS303 (Common) [90min] | C003
Tuesday,Free,Free,Free,LUNCH BREAK,CS309 (Common) [90min] | C003,CS303 (Common) [90min] | C003
Wednesday,Free,Free,Free,LUNCH BREAK,CS309 (Common) [60min] | C003,CS303 (Common) [60min] | C003
Thursday,Free,Free,Free,LUNCH BREAK,CS309 (Common) [90min] | C003,CS303-Lab (Common) [120min] | L207 & L208
Friday,Free,Free,Free,LUNCH BREAK,CS309 (Common) [90min] | C003,CS303 (Common) [90min] | C004
