,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,EC261-A | C302,EC263-A | C204,Free,LUNCH BREAK,"CS307
(Lecture)
L107 & L206
[Shared: DSAI+ECE]",Free
Tuesday,MA263-A | C204,EC261-T-A [60min] | C102,EC263-A | C104,LUNCH BREAK,Free,Free
Wednesday,MA263-A | C205,EC262-A | C202,Free,LUNCH BREAK,Free,EC263-Lab-A [120min] | L105 & L206
Thursday,MA263-T-A [60min] | C203,EC262-A | C202,HS252-A | C101,LUNCH BREAK,Free,Free
Friday,EC261-A | C205,HS252-A | C104,Free,LUNCH BREAK,EC262-Lab-A [120min] | C301 & L307,Free
