,09:00-10:30,10:45-12:15,12:30-13:30,13:30-14:30,14:30-16:30,16:30-18:30
Monday,CA262-A | C101,CS263-A | C101,Free,LUNCH BREAK,MA261 (Common) [90min] | C004,CS261 (Common) [90min] | C004
Tuesday,Free,Free,MA261 (Common) | C004,LUNCH BREAK,CS264 (Common) [90min] | C004,HS261 (Common) [90min] | C004
Wednesday,CA262-A | C101,Free,MA262 (Common) | C004,LUNCH BREAK,CS264 (Common) [90min] | C004,CS263-Lab-A [120min] | L106 & L107
Thursday,Free,MA262 (Common) | C004,CS264 (Common) [60min] | C004,LUNCH BREAK,CA262-Lab-A [120min] | L106 & L107,Free
Friday,CS263-A | C101,Free,CS261 (Common) | C004,LUNCH BREAK,HS261 (Common) [90min] | C004,Free
